BSE Symbol,NSE Symbol,Company Name          ,Sector
532822,IDEA,Vodafone Idea Ltd.,Telecommunication - Service  Provider
533150,GODREJPROP,Godrej Properties Ltd.,Construction - Real Estate
500368,PATANJALI,Patanjali Foods Ltd.,Edible Oil
533273,OBEROIRLTY,Oberoi Realty Ltd.,Construction - Real Estate
544162,BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication - Service  Provider
540762,TIINDIA,Tube Investments of India Ltd.,Cycles
542830,IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Travel Services
539523,ALKEM,Alkem Laboratories Ltd.,Pharmaceuticals & Drugs
590024,FACT,The Fertilisers And Chemicals Travancore Ltd.,Fertilizers
500477,ASHOKLEY,Ashok Leyland Ltd.,Automobiles-Trucks/Lcv
543994,JSWINFRA,JSW Infrastructure Ltd.,Port
500488,ABBOTINDIA,Abbott India Ltd.,Pharmaceuticals & Drugs
500493,BHARATFORG,Bharat Forge Ltd.,Forgings
526371,NMDC,NMDC Ltd.,Mining & Minerals
532648,YESBANK,Yes Bank Ltd.,Bank - Private
540115,LTTS,L&T Technology Services Ltd.,IT - Software
533274,PRESTIGE,Prestige Estates Projects Ltd.,Construction - Real Estate
532539,UNOMINDA,UNO Minda Ltd.,Auto Ancillary
509480,BERGEPAINT,Berger Paints India Ltd.,Paints
532541,COFORGE,Coforge Ltd.,IT - Software
532478,UBL,United Breweries Ltd.,Breweries & Distilleries
544026,IREDA,Indian Renewable Energy Development Agency Ltd.,Finance - NBFC
543396,PAYTM,One97 Communications Ltd.,Fintech
526299,MPHASIS,Mphasis Ltd.,IT - Software
523642,PIIND,PI Industries Ltd.,Pesticides & Agrochemicals
502355,BALKRISIND,Balkrishna Industries Ltd.,Tyres & Allied
506395,COROMANDEL,Coromandel International Ltd.,Fertilizers
532508,JSL,Jindal Stainless Ltd.,Steel & Iron Products
503100,PHOENIXLTD,The Phoenix Mills Ltd.,Construction - Real Estate
532505,UCOBANK,UCO Bank,Bank - Public
543187,POWERINDIA,Hitachi Energy India Ltd.,Electric Equipment
532827,PAGEIND,Page Industries Ltd.,Textile
505790,SCHAEFFLER,Schaeffler India Ltd.,Bearings
543278,KALYANKJIL,Kalyan Jewellers India Ltd.,Diamond  &  Jewellery
590071,SUNDARMFIN,Sundaram Finance Ltd.,Finance - NBFC
509930,SUPREMEIND,Supreme Industries Ltd.,Plastic Products
500575,VOLTAS,Voltas Ltd.,Air Conditioners
523457,LINDEINDIA,Linde India Ltd.,Industrial  Gases & Fuels
532522,PETRONET,Petronet LNG Ltd.,Industrial  Gases & Fuels
500483,TATACOMM,Tata Communications Ltd.,Telecommunication - Service  Provider
500459,PGHH,Procter & Gamble Hygiene and Health Care Ltd.,Household & Personal Products
532843,FORTIS,Fortis Healthcare Ltd.,Hospital & Healthcare Services
500290,MRF,MRF Ltd.,Tyres & Allied
543384,NYKAA,FSN E-Commerce Ventures Ltd.,e-Commerce
500469,FEDERALBNK,The Federal Bank Ltd.,Bank - Private
532523,BIOCON,Biocon Ltd.,Pharmaceuticals & Drugs
531344,CONCOR,Container Corporation Of India Ltd.,Logistics
539437,IDFCFIRSTB,IDFC First Bank Ltd.,Bank - Private
512070,UPL,UPL Ltd.,Pesticides & Agrochemicals
540530,HUDCO,Housing & Urban Development Corporation Ltd.,Finance - Housing
532885,CENTRALBK,Central Bank Of India,Bank - Public
540691,ABCAPITAL,Aditya Birla Capital Ltd.,Finance - NBFC
532149,BANKINDIA,Bank Of India,Bank - Public
540611,AUBANK,AU Small Finance Bank Ltd.,Bank - Private
522275,GVT&D,GE Vernova T&D India Ltd.,Electric Equipment
541143,BDL,Bharat Dynamics Ltd.,Defence
500411,THERMAX,Thermax Ltd.,Engineering - Industrial Equipments
542772,360ONE,360 One Wam Ltd.,Finance - Others
500113,SAIL,Steel Authority Of India Ltd.,Steel & Iron Products
533155,JUBLFOOD,Jubilant FoodWorks Ltd.,Consumer Food
532892,MOTILALOFS,Motilal Oswal Financial Services Ltd.,Finance - Stock Broking
533758,APLAPOLLO,APL Apollo Tubes Ltd.,Steel & Iron Products
532296,GLENMARK,Glenmark Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
540767,NAM-INDIA,Nippon Life India Asset Management Ltd.,Finance - Asset Management
542812,FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals
500495,ESCORTS,Escorts Kubota Ltd.,Automobiles-Tractors
532259,APARINDS,Apar Industries Ltd.,Electric Equipment
524494,IPCALAB,Ipca Laboratories Ltd.,Pharmaceuticals & Drugs
517569,KEI,KEI Industries Ltd.,Cable
532830,ASTRAL,Astral Ltd.,Plastic Products
500092,CRISIL,CRISIL Ltd.,Ratings
500067,BLUESTARCO,Blue Star Ltd.,Air Conditioners
532525,MAHABANK,Bank Of Maharashtra,Bank - Public
540678,COCHINSHIP,Cochin Shipyard Ltd.,Ship Building
500408,TATAELXSI,Tata Elxsi Ltd.,IT - Software
533206,SJVN,SJVN Ltd.,Power Generation/Distribution
500410,ACC,ACC Ltd.,Cement & Construction Materials
532234,NATIONALUM,National Aluminium Company Ltd.,Aluminium & Aluminium Products
532644,JKCEMENT,JK Cement Ltd.,Cement & Construction Materials
500271,MFSL,Max Financial Services Ltd.,Finance - Others
500660,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
517174,HONAUT,Honeywell Automation India Ltd.,Consumer Durables - Electronics
532331,AJANTPHARM,Ajanta Pharma Ltd.,Pharmaceuticals & Drugs
542651,KPITTECH,KPIT Technologies Ltd.,IT - Software
533519,LTF,L&T Finance Ltd.,Finance - NBFC
543458,AWL,Adani Wilmar Ltd.,Edible Oil
543664,KAYNES,Kaynes Technology India Ltd.,Electronics - Components
539336,GUJGASLTD,Gujarat Gas Ltd.,Gas Transmission/Marketing
523610,ITI,ITI Ltd.,Telecommunication - Equipment
542216,DALBHARAT,Dalmia Bharat Ltd.,Cement & Construction Materials
532683,AIAENG,AIA Engineering Ltd.,Castings/Forgings
539268,SYNGENE,Syngene International Ltd.,Business Support
543426,METROBRAND,Metro Brands Ltd.,Retailing
543300,SONACOMS,Sona BLW Precision Forgings Ltd.,Auto Ancillary
532720,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Finance - NBFC
523395,3MINDIA,3M India Ltd.,Diversified
532889,KPRMILL,K.P.R. Mill Ltd.,Textile
544028,TATATECH,Tata Technologies Ltd.,IT - Software
513683,NLCINDIA,NLC India Ltd.,Power Generation/Distribution
543635,PPLPHARMA,Piramal Pharma Ltd.,Pharmaceuticals & Drugs
533295,PSB,Punjab & Sind Bank,Bank - Public
500086,EXIDEIND,Exide Industries Ltd.,Batteries
535755,ABFRL,Aditya Birla Fashion and Retail Ltd.,Retailing
532947,IRB,IRB Infrastructure Developers Ltd.,Engineering - Construction
506401,DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals
501301,TATAINVEST,Tata Investment Corporation Ltd.,Finance - NBFC
540222,LAURUSLABS,Laurus Labs Ltd.,Pharmaceuticals & Drugs
540769,NIACL,The New India Assurance Company Ltd.,Insurance
500253,LICHSGFIN,LIC Housing Finance Ltd.,Finance - Housing
507815,GILLETTE,Gillette India Ltd.,Household & Personal Products
539177,AIIL,Authum Investment & Infrastructure Ltd.,Finance - Investment
500164,GODREJIND,Godrej Industries Ltd.,Chemicals
540153,ENDURANCE,Endurance Technologies Ltd.,Auto Ancillary
532497,RADICO,Radico Khaitan Ltd.,Breweries & Distilleries
534091,MCX,Multi Commodity Exchange Of India Ltd.,Finance - Stock Broking
515055,ANANTRAJ,Anant Raj Ltd.,Construction - Real Estate
543654,MEDANTA,Global Health Ltd.,Hospital & Healthcare Services
506943,JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
500877,APOLLOTYRE,Apollo Tyres Ltd.,Tyres & Allied
543463,MANYAVAR,Vedant Fashions Ltd.,Textile
544081,JYOTICNC,Jyoti CNC Automation Ltd.,Engineering - Industrial Equipments
532514,IGL,Indraprastha Gas Ltd.,Gas Transmission/Marketing
539551,NH,Narayana Hrudayalaya Ltd.,Hospital & Healthcare Services
543412,STARHEALTH,Star Health and Allied Insurance Company Ltd.,Insurance
543245,GLAND,Gland Pharma Ltd.,Pharmaceuticals & Drugs
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Finance - Investment
544179,GODIGIT,Go Digit General Insurance Ltd.,Insurance
500184,HSCL,Himadri Speciality Chemical Ltd.,Chemicals
532929,BRIGADE,Brigade Enterprises Ltd.,Construction - Real Estate
543064,SUVENPHAR,Suven Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
541179,ISEC,ICICI Securities Ltd.,Finance - Stock Broking
532733,SUNTV,Sun TV Network Ltd.,TV Broadcasting & Software Production
524000,POONAWALLA,Poonawalla Fincorp Ltd.,Finance - NBFC
500003,AEGISLOG,Aegis Logistics Ltd.,Logistics
534309,NBCC,NBCC (India) Ltd.,Construction - Real Estate
500840,EIHOTEL,EIH Ltd.,"Hotel, Resort & Restaurants"
540975,ASTERDM,Aster DM Healthcare Ltd.,Hospital & Healthcare Services
532809,FSL,Firstsource Solutions Ltd.,BPO/ITeS
543308,KIMS,Krishna Institute of Medical Sciences Ltd,Hospital & Healthcare Services
531162,EMAMILTD,Emami Ltd.,Household & Personal Products
541153,BANDHANBNK,Bandhan Bank Ltd.,Bank - Private
531768,POLYMED,Poly Medicure Ltd.,Medical Equipment/Supplies/Accessories
500770,TATACHEM,Tata Chemicals Ltd.,Chemicals
543498,MSUMI,Motherson Sumi Wiring India Ltd.,Steel & Iron Products
500109,MRPL,Mangalore Refinery And Petrochemicals Ltd.,Refineries
543529,DELHIVERY,Delhivery Ltd.,Courier  Services
542920,SUMICHEM,Sumitomo Chemical India Ltd.,Pesticides & Agrochemicals
539524,LALPATHLAB,Dr. Lal Pathlabs Ltd.,Hospital & Healthcare Services
540173,PNBHOUSING,PNB Housing Finance Ltd.,Finance - Housing
532714,KEC,KEC International Ltd.,Engineering - Construction
513599,HINDCOPPER,Hindustan Copper Ltd.,Metal - Non Ferrous
513375,CARBORUNIV,Carborundum Universal Ltd.,Abrasives
524816,NATCOPHARM,Natco Pharma Ltd.,Pharmaceuticals & Drugs
500302,PEL,Piramal Enterprises Ltd.,Finance - NBFC
500403,SUNDRMFAST,Sundram Fasteners Ltd.,Fasteners
539876,CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables - Domestic Appliances
543299,SHYAMMETL,Shyam Metalics And Energy Ltd.,Steel & Iron Products
539006,PTCIL,PTC Industries Ltd.,Castings/Forgings
543960,CONCORDBIO,Concord Biotech Ltd.,Pharmaceuticals & Drugs
506285,BAYERCROP,Bayer CropScience Ltd.,Pesticides & Agrochemicals
543235,ANGELONE,Angel One Ltd.,Finance - Stock Broking
500163,GODFRYPHLP,Godfrey Phillips India Ltd.,Cigarettes/Tobacco
500680,PFIZER,Pfizer Ltd.,Pharmaceuticals & Drugs
543330,DEVYANI,Devyani International Ltd.,Consumer Food
533655,TRITURBINE,Triveni Turbine Ltd.,Engineering - Industrial Equipments
540680,KIOCL,KIOCL Ltd.,Mining & Minerals
542752,AFFLE,Affle (India) Ltd.,BPO/ITeS
533581,PGEL,PG Electroplast Ltd.,Consumer Durables - Domestic Appliances
540902,AMBER,Amber Enterprises India Ltd.,Air Conditioners
522113,TIMKEN,Timken India Ltd.,Bearings
532300,WOCKPHARMA,Wockhardt Ltd.,Pharmaceuticals & Drugs
531531,HATSUN,Hatsun Agro Product Ltd.,Consumer Food
543374,ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Finance - Asset Management
500042,BASF,BASF India Ltd.,Pesticides & Agrochemicals
500472,SKFINDIA,SKF India Ltd.,Bearings
500040,ABREL,Aditya Birla Real Estate Ltd.,Diversified
500260,RAMCOCEM,The Ramco Cements Ltd.,Cement & Construction Materials
532144,WELCORP,Welspun Corp Ltd.,Steel & Iron Products
520111,RATNAMANI,Ratnamani Metals & Tubes Ltd.,Steel & Iron Products
533023,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Auto Ancillary
539083,INOXWIND,Inox Wind Ltd.,Electric Equipment
532702,GSPL,Gujarat State Petronet Ltd.,Gas Transmission/Marketing
543232,CAMS,Computer Age Management Services Ltd.,Depository Services
533272,JWL,Jupiter Wagons Ltd.,Railways Wagons
533573,APLLTD,Alembic Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
500238,WHIRLPOOL,Whirlpool Of India Ltd.,Consumer Durables - Domestic Appliances
500085,CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd.,Fertilizers
500027,ATUL,Atul Ltd.,Chemicals
543988,NUVAMA,Nuvama Wealth Management Ltd.,Finance - Others
506076,GRINDWELL,Grindwell Norton Ltd.,Abrasives
541956,IRCON,Ircon International Ltd.,Engineering - Construction
543663,FIVESTAR,Five-Star Business Finance Ltd.,Finance - NBFC
532642,JSWHL,JSW Holdings Ltd.,Finance - Investment
500165,KANSAINER,Kansai Nerolac Paints Ltd.,Paints
500008,ARE&M,Amara Raja Energy & Mobility Ltd.,Batteries
520056,TVSHLTD,TVS Holdings Ltd.,Auto Ancillary
540595,TEJASNET,Tejas Networks Ltd.,Telecommunication - Equipment
503310,SWANENERGY,Swan Energy Ltd.,Textile
522287,KPIL,Kalpataru Projects International Ltd.,Engineering - Construction
532175,CYIENT,Cyient Ltd.,IT - Software
500084,CESC,CESC Ltd.,Power Generation/Distribution
540073,BLS,BLS International Services Ltd.,Professional Services
543720,KFINTECH,KFin Technologies Ltd.,Depository Services
532504,NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals
532548,CENTURYPLY,Century Plyboards (India) Ltd.,Wood & Wood Products
590003,KARURVYSYA,Karur Vysya Bank Ltd.,Bank - Private
532605,JBMA,JBM Auto Ltd.,Auto Ancillary
524200,VINATIORGA,Vinati Organics Ltd.,Chemicals
522074,ELGIEQUIP,Elgi Equipments Ltd.,Compressors / Pumps
533339,ZENTEC,Zen Technologies Ltd.,IT - Software
524558,NEULANDLAB,Neuland Laboratories Ltd.,Pharmaceuticals & Drugs
542011,GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Ship Building
500870,CASTROLIND,Castrol India Ltd.,Lubricants
532756,CIEINDIA,CIE Automotive India Ltd.,Forgings
523367,DCMSHRIRAM,DCM Shriram Ltd.,Diversified
540900,NEWGEN,Newgen Software Technologies Ltd.,IT - Software
506820,ASTRAZEN,Astrazeneca Pharma India Ltd.,Pharmaceuticals & Drugs
543653,BIKAJI,Bikaji Foods International Ltd.,Consumer Food
544174,TBOTEK,TBO Tek Ltd.,Travel Services
544176,AADHARHFC,Aadhar Housing Finance Ltd.,Finance - Housing
500252,LMW,LMW Ltd.,Textile - Machinery
532805,REDINGTON,Redington Ltd.,Trading
504067,ZENSARTECH,Zensar Technologies Ltd.,IT - Software
534139,SCHNEIDER,Schneider Electric Infrastructure Ltd.,Electric Equipment
542399,CHALET,Chalet Hotels Ltd.,"Hotel, Resort & Restaurants"
500710,AKZOINDIA,Akzo Nobel India Ltd.,Paints
540596,ERIS,Eris Lifesciences Ltd.,Pharmaceuticals & Drugs
532953,VGUARD,V-Guard Industries Ltd.,Electric Equipment
524742,CAPLIPOINT,Caplin Point Laboratories Ltd.,Pharmaceuticals & Drugs
531213,MANAPPURAM,Manappuram Finance Ltd.,Finance - NBFC
500233,KAJARIACER,Kajaria Ceramics Ltd.,Ceramics/Marble/Granite/Sanitaryware
500043,BATAINDIA,Bata India Ltd.,Footwear
532636,IIFL,IIFL Finance Ltd.,Finance - Investment
532527,RKFORGE,Ramkrishna Forgings Ltd.,Forgings
500378,JINDALSAW,Jindal Saw Ltd.,Steel & Iron Products
521064,TRIDENT,Trident Ltd.,Textile - Spinning
533282,GRAVITA,Gravita India Ltd.,Metal - Non Ferrous
524208,AARTIIND,Aarti Industries Ltd.,Chemicals
543415,ANANDRATHI,Anand Rathi Wealth Ltd.,Finance - Others
532939,RPOWER,Reliance Power Ltd.,Power Generation/Distribution
544172,INDGN,Indegene Ltd.,Pharmaceuticals & Drugs
543238,UTIAMC,UTI Asset Management Company Ltd.,Finance - Asset Management
501425,BBTC,Bombay Burmah Trading Corporation Ltd.,Agriculture
526612,BLUEDART,Blue Dart Express Ltd.,Courier  Services
515030,ASAHIINDIA,Asahi India Glass Ltd.,Glass
532221,SONATSOFTW,Sonata Software Ltd.,IT - Software
504614,SARDAEN,Sarda Energy & Minerals Ltd.,Steel & Iron Products
500144,FINCABLES,Finolex Cables Ltd.,Cable
541770,CREDITACC,CreditAccess Grameen Ltd.,Finance - NBFC
500294,NCC,NCC Ltd.,Engineering - Construction
500241,KIRLOSBROS,Kirloskar Brothers Ltd.,Engineering - Industrial Equipments
532762,ACE,Action Construction Equipment Ltd.,Construction Vehicles
517271,HBLENGINE,HBL Engineering Ltd.,Batteries
543318,CLEAN,Clean Science And Technology Ltd.,Chemicals
543990,SIGNATURE,Signatureglobal (India) Ltd.,Construction - Real Estate
532928,TARIL,Transformers & Rectifiers (India) Ltd.,Electric Equipment
532927,ECLERX,eClerx Services Ltd.,BPO/ITeS
500048,BEML,BEML Ltd.,Construction Vehicles
540750,IEX,Indian Energy Exchange Ltd.,Power Generation/Distribution
530019,JUBLPHARMA,Jubilant Pharmova Ltd.,Pharmaceuticals & Drugs
532371,TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication - Service  Provider
531595,CGCL,Capri Global Capital Ltd.,Finance - Investment
532400,BSOFT,Birlasoft Ltd.,IT - Software
500645,DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Ltd.,Fertilizers
500106,IFCI,IFCI Ltd.,Finance Term Lending
500125,EIDPARRY,E.I.D. - Parry (India) Ltd.,Sugar
544012,CELLO,Cello World Ltd.,Household & Personal Products
543981,RRKABEL,RR Kabel Ltd.,Cable
500183,HFCL,HFCL Ltd.,Telecom-Infrastructure
514162,WELSPUNLIV,Welspun Living Ltd.,Textile
532482,GRANULES,Granules India Ltd.,Pharmaceuticals & Drugs
544045,DOMS,DOMS Industries Ltd.,Printing & Stationery
543524,RAINBOW,Rainbow Children's Medicare Ltd.,Hospital & Healthcare Services
531431,SHAKTIPUMP,Shakti Pumps (India) Ltd.,Compressors / Pumps
530517,RELAXO,Relaxo Footwears Ltd.,Footwear
532976,JAIBALAJI,Jai Balaji Industries Ltd.,Steel/Sponge Iron/Pig Iron
542141,TECHNOE,Techno Electric & Engineering Company Ltd.,Engineering - Construction
543335,APTUS,Aptus Value Housing Finance India Ltd.,Finance - Housing
502986,VTL,Vardhman Textiles Ltd.,Textile
540743,GODREJAGRO,Godrej Agrovet Ltd.,Animal Feed
532926,JYOTHYLAB,Jyothy Labs Ltd.,Household & Personal Products
543322,ALIVUS,Alivus Life Sciences Ltd.,Pharmaceuticals & Drugs
541557,FINEORG,Fine Organic Industries Ltd.,Chemicals
506590,PCBL,PCBL Chemical Ltd.,Carbon Black
